ExhaustiveStarScheduler, TercioScheduler, 
5, 31.317620641038864, 31.317620641038864, 
5, 33.766660907935275, 33.766660907935275, 
5, 31.616656184104727, 31.288332842551505, 
5, 42.391347548364905, 42.391347548364905, 
5, 41.46899665964175, 41.46899665964175, 
5, 32.906669268029745, 32.906669268029745, 
5, 36.938870845085496, 32.04910397400592, 
5, 42.688229175726406, 42.688229175726406, 
5, 31.785170510322608, 31.785170510322608, 
5, 31.883912113240207, 31.540882352626145, 
5, 32.51889476282631, 31.756895438543594, 
5, 40.52686639730201, 40.52686639730201, 
5, 30.891149081589692, 30.891149081589692, 
5, 32.91601615533755, 32.91601615533755, 
5, 33.557437418092576, 33.557437418092576, 
5, 37.76687951567804, 37.76687951567804, 
5, 31.477555165416458, 31.477555165416458, 
5, 41.862743660272415, 41.862743660272415, 
5, 31.225927140213887, 31.225927140213887, 
5, 31.931612881871526, 31.931612881871526, 
5, 41.669419301728865, 41.669419301728865, 
5, 41.22227582616859, 41.22227582616859, 
5, 41.354901711371724, 41.354901711371724, 
5, 36.524620117795465, 35.41835540156533, 
5, 42.29597108754041, 42.29597108754041, 
5, 41.08042255577348, 41.08042255577348, 
5, 41.037980623072364, 41.037980623072364, 
5, 31.17074654177234, 31.17074654177234, 
5, 30.943894142640623, 30.943894142640623, 
5, 31.12216461659957, 31.12216461659957, 
5, 31.855329742864598, 31.855329742864598, 
5, 41.66428784359863, 41.66428784359863, 
5, 32.74471753011292, 32.591631462415165, 
5, 41.98820814814787, 41.98820814814787, 
5, 41.77298566483904, 41.77298566483904, 
5, 47.925675994032005, 47.925675994032005, 
5, 36.53345335207024, 31.679868905799104, 
5, 42.81468389826632, 42.81468389826632, 
5, 41.61697562833274, 41.61697562833274, 
5, 31.149999241206395, 31.149999241206395, 
5, 41.37995873973695, 41.37995873973695, 
5, 44.05896231409527, 44.05896231409527, 
5, 31.037768503874606, 31.037768503874606, 
5, 42.99149866877238, 42.99149866877238, 
5, 31.61831121164901, 31.61831121164901, 
5, 41.05385837256878, 41.05385837256878, 
5, 42.316878376117025, 42.316878376117025, 
5, 31.315038774187585, 31.315038774187585, 
5, 41.935237768038334, 41.935237768038334, 
5, 39.15128009028015, 39.15128009028015, 
5, 43.32103851877386, 43.32103851877386, 
5, 34.7921776931998, 34.7921776931998, 
