MILP, Buffered, Tercio
3, 32.662904058481345, 32.662904058481345, 32.662904058481345
3, 31.456811873375813, 31.45681187337582, 31.45681187337582
3, 31.24328755200235, 31.24328755200255, 31.24328755200255
3, 30.51524597595498, 30.515245975954983, 30.515245975954983
3, 30.85057058932458, 30.85057058932456, 30.85057058932456
3, 32.103787168963464, 32.10378716896347, 32.10378716896347
3, 30.55007550503171, 30.55007550503171, 30.55007550503171
3, 31.62209563496614, 31.62209563496614, 31.62209563496614
3, 21.83643120686414, 21.83643120686414, 21.83643120686414
3, 31.321651567622805, 31.321651567622805, 31.321651567622805
3, 31.072159114856174, 31.07215911485617, 31.07215911485617
3, 31.5102165772669, 31.510216577267062, 31.510216577267062
3, 32.25624082753957, 32.256240827539756, 32.256240827539756
3, 21.22850815845704, 21.22850815845704, 21.22850815845704
3, 32.54389090789638, 32.54389090789637, 32.54389090789637
3, 32.16712693748201, 32.16712693748201, 32.16712693748201
3, 30.937496230583932, 30.937496230583932, 30.937496230583932
3, 31.13941147870048, 31.13941147870048, 31.13941147870048
3, 31.454993247542053, 31.454993247542053, 31.454993247542053
3, 31.27448034926173, 31.274480349261843, 31.274480349261843
3, 32.01431107521057, 32.01431119125098, 32.01431119125098
3, 41.353676156959466, 41.35367615696009, 41.35367615696009
4, 30.9639484343407, 30.963948434340857, 30.963948434340857
4, 42.19766779454912, 42.19766779454912, 42.19766779454912
4, 41.06093011236834, 41.0609301123683, 41.0609301123683
4, 42.37851505463489, 42.37851505463485, 42.37851505463485
4, 42.257804133532204, 42.25780413353229, 42.25780413353229
4, 42.2252925022332, 42.2252925022332, 42.2252925022332
4, 42.29748848167979, 42.29748848167979, 42.29748848167979
4, 41.19625342031674, 41.19625342031702, 41.19625342031702
4, 34.364189532041195, 34.364189532041195, 34.364189532041195
4, 32.57308953322923, 32.57308953322923, 43.2017522435047
4, 41.49675266695199, 41.49675266695198, 41.49675266695198
4, 40.98033057442099, 40.98033057442099, 40.98033057442099
4, 32.507568596336135, 42.90951099782459, 32.50756859633613
4, 42.27588489212689, 42.275884892126896, 42.275884892126896
4, 32.659285325195434, 32.659285325195434, 32.659285325195434
4, 32.35801160831879, 42.761076782640224, 32.358011608318805
4, 40.78136128303939, 40.78136128303939, 40.78136128303939
4, 41.27712244787017, 41.27712244787065, 41.27712244787065
4, 41.3964369937304, 41.39643699373045, 41.39643699373045
4, 42.62723809138683, 42.62723809138683, 42.62723809138683
4, 41.78563530224385, 41.78563530224475, 41.78563530224475
4, 41.32075254385589, 41.32075254385601, 41.32075254385602
4, 41.54971641505873, 41.54971641505874, 41.54971641505875
4, 31.2813653396744, 31.281365339674394, 31.281365339674394
4, 42.46538041086743, 42.46538041086787, 42.46538041086787
4, 31.146413490685873, 31.14641349068604, 31.14641349068604
4, 32.11762710839374, 32.11762710839377, 32.11762710839377
4, 41.391647510938064, 41.391647510938775, 41.391647510938775
4, 42.37702593675522, 42.37702593675522, 42.37702593675522
4, 41.94942599585754, 41.949425995857524, 41.94942599585753
4, 42.092823530846296, 42.09282353084629, 42.09282353084629
4, 41.75132788684492, 41.751327886844926, 41.751327886844926
4, 32.194867231967834, 42.60569269558252, 32.194867231967834
4, 42.53636061123825, 42.53636061123928, 42.53636061123928
